Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2017-11-13;ARS Norte;65260.0;35488.0;29772.0;13202.0
2017-11-13;ARS Centro;27971.0;16089.0;11882.0;6979.0
2017-11-14;ARS Norte;60138.0;31175.0;28963.0;11761.0
2017-11-15;ARS Norte;54929.0;27833.0;27096.0;10273.0
2017-11-15;ARS Algarve;4276.0;2192.0;2084.0;875.0
2017-11-18;ARS Algarve;340.0;325.0;15.0;78.0
2017-11-23;ARS Norte;52817.0;25979.0;26838.0;9479.0
2017-11-23;ARS Centro;23180.0;12297.0;10883.0;5182.0
2017-11-24;ARS Algarve;2931.0;1565.0;1366.0;574.0
2017-11-25;ARS Centro;2170.0;2055.0;115.0;604.0
2017-11-26;ARS Norte;2502.0;2502.0;0.0;400.0
2017-11-26;ARS Algarve;264.0;264.0;0.0;55.0
2017-11-30;ARS Norte;49759.0;24432.0;25327.0;8824.0
2017-12-01;ARS Norte;2288.0;2288.0;0.0;417.0
2017-12-02;ARS Lisboa e Vale do Tejo;2103.0;2069.0;34.0;501.0
2017-12-03;ARS Alentejo;709.0;674.0;35.0;200.0
2017-12-04;ARS Alentejo;8209.0;4527.0;3682.0;2097.0
